index;element;a1;a2;a3;a4;a5;b1;b2;b3;b4;b5;
74;"W";0.8296;3.1549;2.9461;1.7764;3.8167;0.2160;68.5278;5.1589;1.3249;19.3610;
75;"Re";3.7785;2.9524;1.7648;0.8541;2.8968;18.5062;5.1211;1.3309;0.2202;64.2221;
76;"Os";3.7057;2.8390;0.8161;1.6999;2.8998;16.5584;58.1703;0.2070;1.2417;4.7727;
77;"Ir";1.6972;0.8463;3.6636;2.5472;2.9490;1.2614;0.2126;16.3008;56.7139;4.7925;
78;"Pt";3.3756;1.9202;1.6818;0.8701;2.9537;15.0204;53.3690;1.2708;0.2162;4.7357;
79;"Au";0.8239;1.6166;3.3603;1.8342;2.9307;0.2015;1.1760;13.8414;50.2016;4.4106;
80;"Hg";3.3429;1.9700;1.6900;0.9145;3.0414;14.9551;51.2359;1.3061;0.2209;4.7166;
81;"Tl";2.4154;3.7157;1.7410;3.2675;0.9469;66.8719;17.5708;1.3552;4.9322;0.2258;
82;"Pb";1.7224;0.9381;2.7140;3.9155;3.2667;1.3349;0.2202;61.8636;17.4937;4.8583;
83;"Bi";3.1838;4.1659;0.9545;3.0415;1.7389;4.7027;16.9894;0.2215;57.5155;1.3394;
84;"Po";3.0981;1.6868;0.9255;4.3552;3.2795;4.4110;1.2698;0.2119;15.9020;51.2527;
85;"At";4.4662;3.0129;3.3002;1.7249;0.9516;15.3682;4.4009;46.5313;1.3060;0.2154;
86;"Rn";4.6212;2.9312;1.6640;0.9154;3.3501;14.2812;4.1129;1.2241;0.2046;42.0807;
87;"Fr";6.1056;-0.314;3.0127;8.0414;1.3720;11.2782;77.9414;2.3975;88.8819;0.3074;
88;"Ra";2.7718;1.5937;9.1922;5.8530;0.8400;3.6817;1.0968;88.4473;13.4212;0.1798;
89;"Ac";3.1041;1.9460;5.7975;8.4287;1.0283;4.8348;1.4065;16.1952;84.2792;0.2249;
90;"Th";1.0606;6.1558;2.1278;7.2005;3.5299;0.2277;19.1693;1.5027;83.1842;5.4688;
91;"Pa";3.3789;2.1098;7.2538;1.0752;5.6246;5.2199;1.4967;83.0861;0.2301;17.2570;
92;"U";2.1845;1.0774;5.4600;3.5175;6.8170;1.5185;0.2261;17.5536;5.3832;83.9202;
93;"Np";1.0605;5.3227;2.1706;6.4498;3.6607;0.2209;17.6673;1.4668;82.6385;5.3317;
94;"Pu";5.0018;3.3635;1.0312;2.0638;6.5815;15.0396;4.7751;0.2118;1.3854;83.8012;
95;"Am";2.1135;3.4848;1.0497;4.8075;6.2502;1.4178;4.8644;0.2126;15.4049;83.6486;
96;"Cm";2.3024;3.8828;1.0947;5.5030;4.8629;1.5087;5.4420;0.2212;82.1515;18.6116;
97;"Bk";3.9615;4.7078;1.1034;5.2136;2.3627;5.5156;19.1735;0.2330;82.2191;1.5087;
98;"Cf";3.9176;5.1700;2.3428;1.0923;4.4169;5.3363;75.3300;1.4895;0.2161;18.2466;
